"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Haryana","Kurukshetra","Pehowa","Tomato","Other","12/11/2019","1500","1600","1600"
"Haryana","Sonipat","Gohana","Banana - Green","Other","12/11/2019","2000","2000","2000"
"Haryana","Sonipat","Gohana","Brinjal","Other","12/11/2019","900","1200","900"
"Haryana","Sonipat","Gohana","Carrot","Other","12/11/2019","2500","3000","2500"
"Haryana","Sonipat","Gohana","Cucumbar(Kheera)","Other","12/11/2019","1800","2000","1800"
"Haryana","Sonipat","Gohana","Green Chilli","Other","12/11/2019","2800","3200","2800"
"Haryana","Sonipat","Gohana","Lemon","Other","12/11/2019","4500","5500","4500"
"Haryana","Sonipat","Gohana","Mousambi(Sweet Lime)","Other","12/11/2019","3500","4000","3500"
"Haryana","Sonipat","Gohana","Onion","Other","12/11/2019","3500","4000","3500"
"Haryana","Sonipat","Gohana","Orange","Other","12/11/2019","4000","4500","4000"
"Haryana","Sonipat","Gohana","Peas cod","Other","12/11/2019","4000","5000","4000"
"Haryana","Sonipat","Gohana","Potato","Other","12/11/2019","1000","1500","1000"
"Haryana","Sonipat","Gohana","Raddish","Other","12/11/2019","800","1000","800"
"Haryana","Sonipat","Gohana","Sweet Potato","Other","12/11/2019","2500","3000","2500"
"Haryana","Sonipat","Gohana","Tomato","Tomato","12/11/2019","2500","3200","2500"
"Himachal Pradesh","Kullu","Bandrol","Cabbage","Other","12/11/2019","1200","1400","1300"
"Himachal Pradesh","Kullu","Bandrol","Cauliflower","Other","12/11/2019","400","500","450"
"Himachal Pradesh","Kullu","Bandrol","Peas Wet","Other","12/11/2019","3800","4000","3900"
"Karnataka","Bangalore","Bangalore","Alasande Gram","Alasande Gram","12/11/2019","6700","7400","7050"
"Karnataka","Bangalore","Bangalore","Arhar Dal(Tur Dal)","Arhar Dal(Tur)","12/11/2019","7800","9500","8650"
"Karnataka","Bangalore","Bangalore","Avare Dal","Avare (Whole)","12/11/2019","4000","4600","4300"
"Karnataka","Bangalore","Bangalore","Bajra(Pearl Millet/Cumbu)","Hybrid","12/11/2019","2800","3100","2950"
"Karnataka","Bangalore","Bangalore","Bengal Gram Dal (Chana Dal)","Bengal Gram Dal","12/11/2019","5600","6400","6000"
"Karnataka","Bangalore","Bangalore","Bengal Gram(Gram)(Whole)","Average (Whole)","12/11/2019","5250","5850","5550"
"Karnataka","Bangalore","Bangalore","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","12/11/2019","7000","8200","7600"
"Karnataka","Bangalore","Bangalore","Black Gram Dal (Urd Dal)","Black Gram Dal","12/11/2019","7500","11400","9450"
"Karnataka","Bangalore","Bangalore","Chennangi Dal","Chennangi Dal","12/11/2019","5400","5600","5500"
"Karnataka","Bangalore","Bangalore","Coconut","Grade-I","12/11/2019","10000","23000","16500"
"Karnataka","Bangalore","Bangalore","Corriander seed","Coriander Seed","12/11/2019","6800","12500","9650"
"Karnataka","Bangalore","Bangalore","Dry Chillies","Byadgi","12/11/2019","16000","18100","17050"
"Karnataka","Bangalore","Bangalore","Dry Chillies","Guntur","12/11/2019","13500","14000","13750"
"Karnataka","Bangalore","Bangalore","Dry Chillies","Mankattu","12/11/2019","12300","13000","12650"
"Karnataka","Bangalore","Bangalore","Dry Grapes","Dry Grapes","12/11/2019","17800","28000","22900"
"Karnataka","Bangalore","Bangalore","Garlic","Garlic","12/11/2019","6500","12000","9250"
"Karnataka","Bangalore","Bangalore","Ginger(Green)","Green Ginger","12/11/2019","1200","5000","3100"
"Karnataka","Bangalore","Bangalore","Green Gram (Moong)(Whole)","Green (Whole)","12/11/2019","7200","8600","7900"
"Karnataka","Bangalore","Bangalore","Green Gram Dal (Moong Dal)","Green Gram Dal","12/11/2019","8000","8600","8300"
"Karnataka","Bangalore","Bangalore","Green Peas","Green Peas","12/11/2019","8200","9000","8600"
"Karnataka","Bangalore","Bangalore","Ground Nut Seed","Ground Nut Seed","12/11/2019","10000","11000","10500"
"Karnataka","Bangalore","Bangalore","Groundnut","Big (With Shell)","12/11/2019","5150","5250","5200"
"Karnataka","Bangalore","Bangalore","Gur(Jaggery)","Mudde","12/11/2019","4500","4800","4650"
"Karnataka","Bangalore","Bangalore","Jowar(Sorghum)","Jowar ( White)","12/11/2019","2800","3500","3150"
